cell_id,total_buildings,buildings_within_400m,accessibility_pct,avg_distance_m,ndvi_mean,ndvi_min,ndvi_max,ndvi_std
3,11,0,0.0,739.7,0.2844460000797194,0.0,0.59138423204422,0.20219666768559796
4,19,0,0.0,679.9,0.23077895806760204,0.0,0.5597051382064819,0.18691450452281716
5,27,0,0.0,667.0,0.21842853156887754,0.0,0.5081300735473633,0.15906426754175612
6,38,17,44.7,429.9,0.16782136878188775,0.0,0.4674603044986725,0.12559773472241537
7,71,71,100.0,297.1,0.17545808753188777,0.0,0.4454803466796875,0.1268047255711174
8,69,69,100.0,174.7,0.21604681521045918,0.0,0.4888775646686554,0.14587791496625624
9,42,42,100.0,277.2,0.17518823740433673,0.0,0.44278261065483093,0.1318886116315797
10,61,61,100.0,94.1,0.20481402961575254,0.0,0.47652915120124817,0.1395177216837741
11,40,24,60.0,345.8,0.19916825275031888,0.0,0.4237980246543884,0.1333108584865176
12,22,0,0.0,732.3,0.16447440011160713,0.0,0.3821949362754822,0.1162983698304787
13,8,0,0.0,894.0,0.2331966477997449,0.0,0.452467143535614,0.16004889921764912
14,8,0,0.0,1109.3,0.27529187260841836,0.0,0.4890254735946655,0.1732995456866801
15,6,0,0.0,1150.6,0.21447215800382652,0.0,0.4762146472930908,0.14666943481505249
17,37,0,0.0,861.3,0.17829696966677297,0.0,0.4520590603351593,0.12735515336337874
18,54,0,0.0,1022.2,0.14930282904177297,0.0,0.39341863989830017,0.11529039140701924
19,45,0,0.0,1270.4,0.14704878826530612,0.0,0.4343603551387787,0.10777959603682925
20,2,0,0.0,867.9,0.10124204051737883,0.0,0.41743969917297363,0.0772921418703156
21,3,1,33.3,367.5,0.11626066246811224,-0.015701668336987495,0.4469783306121826,0.08385220713217108
22,10,10,100.0,198.8,0.1686748271085778,0.0,0.43326810002326965,0.12217262923522564
23,24,24,100.0,125.1,0.06731701484695841,0.0,0.41542091965675354,0.09847918670815933
24,88,1,1.1,539.1,0.33463214485012754,0.0,0.5250965356826782,0.14827409217285564
25,90,9,10.0,508.9,0.3464397216796875,0.021109122782945633,0.5343562364578247,0.13720714234344222
26,143,50,35.0,454.8,0.2364386474609375,0.016323024407029152,0.5335380434989929,0.11536583257666795
27,98,88,89.8,270.0,0.3203597900390625,-0.007042253389954567,0.544295072555542,0.1368752606848832
28,24,6,25.0,415.0,0.3969869384765625,0.0422535203397274,0.5866819620132446,0.12166869710428942
29,75,4,5.3,544.8,0.287489501953125,0.052576784044504166,0.547004222869873,0.10196898105719059
30,115,48,41.7,449.1,0.274315869140625,0.014210312627255917,0.45814308524131775,0.08517363212780626
31,85,85,100.0,163.8,0.2572662109375,0.016393441706895828,0.4776252508163452,0.09491070370139225
32,104,104,100.0,184.3,0.242980419921875,-0.006657018791884184,0.5075253844261169,0.1094260909121947
33,65,65,100.0,121.4,0.260531201171875,0.03286978602409363,0.4971531331539154,0.08158596923015968
34,70,21,30.0,457.3,0.302606396484375,0.06866197288036346,0.4783904552459717,0.06890413946681559
35,40,0,0.0,831.0,0.265820361328125,0.03295404091477394,0.47275030612945557,0.09097074149182094
36,34,0,0.0,1185.9,0.3279932373046875,0.01690140925347805,0.47468820214271545,0.09841356794563239
39,23,0,0.0,1441.6,0.3018511962890625,0.03345070406794548,0.47118180990219116,0.07582931851343164
